authors,year,name,cites,content
"R Duan, A Bijlani, M Xu, T Kim, W Lee",2017,Identifying open source license violation and 1 day security risk at large scale,13,"With millions of apps available to users, the mobile app market is rapidly becoming very crowded. Given the intense competition, the time to market is a critical factor for the success and profitability of an app. In order to shorten the development cycle, developers often focus their efforts on the unique features and workflows of their apps and rely on third party Open Source Software  OSS  for the common features. Unfortunately, despite their benefits, careless use of OSS can introduce significant legal and security risks, which if ignored can not only jeopardize security and privacy of end users, but can also cause app developers high financial loss. However, tracking OSS components, their versions, and interdependencies can be very tedious and error prone, particularly if an OSS is imported with little to no knowledge of its provenance. We therefore propose OSSPolice, a scalable and fully automated tool for mobile app developers to quickly analyze their apps and identify free software license violations as well as usage of known vulnerable versions of OSS. OSSPolice introduces a novel hierarchical indexing scheme to achieve both high scalability and accuracy, and is capable of efficiently comparing similarities of app binaries against a database of hundreds of thousands of OSS sources  billions of lines of code . We populated OSSPolice with 60K C C  and 77K Java OSS sources and analyzed 1.6M free Google Play Store apps. Our results show that 1  over 40K apps potentially violate GPL AGPL licensing terms, and 2  over 100K of apps use known vulnerable versions of OSS. Further analysis shows that developers violate GPL AGPL licensing terms due to lack of alternatives, and use vulnerable versions of OSS despite efforts from companies like Google to improve app security. OSSPolice is available on GitHub."
"F Thung, D Lo, L Jiang, F Rahman ",2015,To what extent could we detect field defects? An extended empirical study of false negatives in static bug finding tools,6,"Software defects can cause much loss. Static bug finding tools are designed to detect and remove software defects and believed to be effective. However, do such tools in fact help prevent actual defects that occur in the field and reported by users? If these tools had been used, would they have detected these field defects, and generated warnings that would direct programmers to fix them? To answer these questions, we perform an empirical study that investigates the effectiveness of five state of the art static bug finding tools  FindBugs, JLint, PMD, CheckStyle, and JCSC  on hundreds of reported and fixed defects extracted from three open source programs  Lucene, Rhino, and AspectJ . Our study addresses the question: To what extent could field defects be detected by state of the art static bug finding tools? Different from past studies that are concerned with the numbers of false positives produced by such tools, we address an orthogonal issue on the numbers of false negatives. We find that although many field defects could be detected by static bug finding tools, a substantial proportion of defects could not be flagged. We also analyze the types of tool warnings that are more effective in finding field defects and characterize the types of missed defects. Furthermore, we analyze the effectiveness of the tools in finding field defects of various severities, difficulties, and types."
"D Hovemeyer, W Pugh",2007,"Finding more null pointer bugs, but not too many",124,"In the summer of 2006, the FindBugs project was challenged to improve the null pointer analysis in FindBugs so that we could find more null pointer bugs. In particular, we were challenged to try to do as well as a publicly available analysis by Reasoning, Inc on version 4.1.24 of Apache Tomcat. Reasoning s report is a result of running their own static analysis tool and using manual auditing to remove false positives. Reasoning reported a total of 9 null pointer warnings in Tomcat 4.1.24, of which only 2 were reported by FindBugs 1.0. While we wanted to improve the analysis in FindBugs, we wanted to retain our current low level of false positives. As of result of the work presented in this paper, FindBugs now reports 4 of the 9 warnings in Tomcat, shows that one of the warnings reported by Reasoning is a false positive, and classifies the remaining 4 as being dependent on the feasibility of a particular path, which cannot be easier ascertained by a local examination of the source code. Moreover, we found 24 additional null pointer bugs in Tomcat that had been missed by Reasoning, and overall doubled the number of null pointer bugs found by FindBugs while improving the quality and significance of reported defects."
"E Bounimova, P Godefroid ",2013,Billions and billions of constraints: Whitebox fuzz testing in production,149,"We report experiences with constraint based whitebox fuzz testing in production across hundreds of large Windows applications and over 500 machine years of computation from 2007 to 2013. Whitebox fuzzing leverages symbolic execution on binary traces and constraint solving to construct new inputs to a program. These inputs execute previously uncovered paths or trigger security vulnerabilities. Whitebox fuzzing has found one third of all file fuzzing bugs during the development of Windows 7, saving millions of dollars in potential security vulnerabilities. The technique is in use today across multiple products at Microsoft. We describe key challenges with running whitebox fuzzing in production. We give principles for addressing these challenges and describe two new systems built from these principles: SAGAN, which collects data from every fuzzing run for further analysis, and JobCenter, which controls deployment of our whitebox fuzzing infrastructure across commodity virtual machines. Since June 2010, SAGAN has logged over 3.4 billion constraints solved, millions of symbolic executions, and tens of millions of test cases generated. Our work represents the largest scale deployment of whitebox fuzzing to date, including the largest usage ever for a Satisfiability Modulo Theories  SMT  solver. We present specific data analyses that improved our production use of whitebox fuzzing. Finally we report data on the performance of constraint solving and dynamic test generation that points toward future research problems."
"C Theisen, K Herzig, B Murphy ",2017,Risk based attack surface approximation: how much data is enough?,12,"Proactive security reviews and test efforts are a necessary component of the software development lifecycle. Resource limitations often preclude reviewing the entire code base. Making informed decisions on what code to review can improve a team s ability to find and remove vulnerabilities. Risk based attack surface approximation  RASA  is a technique that uses crash dump stack traces to predict what code may contain exploitable vulnerabilities. The goal of this research is to help software development teams prioritize security efforts by the efficient development of a risk based attack surface approximation. We explore the use of RASA using Mozilla Firefox and Microsoft Windows stack traces from crash dumps. We create RASA at the file level for Firefox, in which the 15.8  of the files that were part of the approximation contained 73.6  of the vulnerabilities seen for the product. We also explore the effect of random sampling of crashes on the approximation, as it may be impractical for organizations to store and process every crash received. We find that 10 fold random sampling of crashes at a rate of 10  resulted in 3  less vulnerabilities identified than using the entire set of stack traces for Mozilla Firefox. Sampling crashes in Windows 8.1 at a rate of 40  resulted in insignificant differences in vulnerability and file coverage as compared to a rate of 100 ."
"W Zou, D Lo, Z Chen, X Xia, Y Feng ",2018,How practitioners perceive automated bug report management techniques,5,"Bug reports play an important role in the process of debugging and fixing bugs. To reduce the burden of bug report managers and facilitate the process of bug fixing, a great amount of software engineering research has been invested into automated bug report management techniques. However, the verdict is still open whether such techniques are actually required and applicable outside of the theoretical research domain. To fill this gap, in this paper, we conducted a survey among 327 practitioners to gain their insights into various categories of automated bug report management techniques. Specifically, in the survey, we asked them to rate the importance of such techniques and provide the rationales of their ratings. To get deeper insight into practitioners  perspective, we conducted follow up interviews with 25 interviewees selected from the survey respondents. Through the survey and the interviews, we gained a better understanding of the perceived usefulness  or its lack  of different categories of automated bug report management techniques. Based on the survey and interview results, we summarized some potential research directions in developing techniques to help developers better manage bug reports."
"PA Laplante, N Ahmad",2009,Pavlov s bugs: Matching repair policies with rewards,7,"Software maintenance engineers devote a significant amount of work to repairing user identified errors. But user, maintainer, and manager perceptions of an error s importance can vary, and bug repair assignment policies can adversely affect those perceptions."
"B Kasikci, C Zamfir, G Candea",2012,Data races vs. data race bugs: telling the difference with portend,111,"Even though most data races are harmless, the harmful ones are at the heart of some of the worst concurrency bugs. Alas, spotting just the harmful data races in programs is like finding a needle in a haystack: 76 90  of the true data races reported by state of the art race detectors turn out to be harmless  45 . We present Portend, a tool that not only detects races but also automatically classifies them based on their potential consequences: Could they lead to crashes or hangs? Could their effects be visible outside the program? Are they harmless? Our proposed technique achieves high accuracy by efficiently analyzing multiple paths and multiple thread schedules in combination, and by performing symbolic comparison between program outputs. We ran Portend on 7 real world applications: it detected 93 true data races and correctly classified 92 of them, with no human effort. 6 of them are harmful races. Portend s classification accuracy is up to 88  higher than that of existing tools, and it produces easy to understand evidence of the consequences of harmful races, thus both proving their harmfulness and making debugging easier. We envision Portend being used for testing and debugging, as well as for automatically triaging bug reports."
"M Zhang, L Wang, S Jajodia, A Singhal ",2016,Network diversity: a security metric for evaluating the resilience of networks against zero day attacks,69,"Diversity has long been regarded as a security mechanism for improving the resilience of software and networks against various attacks. More recently, diversity has found new applications in cloud computing security, moving target defense, and improving the robustness of network routing. However, most existing efforts rely on intuitive and imprecise notions of diversity, and the few existing models of diversity are mostly designed for a single system running diverse software replicas or variants. At a higher abstraction level, as a global property of the entire network, diversity and its effect on security have received limited attention. In this paper, we take the first step toward formally modeling network diversity as a security metric by designing and evaluating a series of diversity metrics. In particular, we first devise a biodiversity inspired metric based on the effective number of distinct resources. We then propose two complementary diversity metrics, based on the least and the average attacking efforts, respectively. We provide guidelines for instantiating the proposed metrics and present a case study on estimating software diversity. Finally, we evaluate the proposed metrics through simulation."
"D Kong, L Cen, H Jin",2015,Autoreb: Automatically understanding the review to behavior fidelity in android applications,47,"Along with the increasing popularity of mobile devices, there exist severe security and privacy concerns for mobile apps. On Google Play, user reviews provide a unique understanding of security privacy issues of mobile apps from users  perspective, and in fact they are valuable feedbacks from users by considering users  expectations. To best assist the end users, in this paper, we automatically learn the security privacy related behaviors inferred from analysis on user reviews, which we call review to behavior fidelity. We design the system AUTOREB that automatically assesses the review to behavior fidelity of mobile apps. AUTOREB employs the state of the art machine learning techniques to infer the relations between users  reviews and four categories of security related behaviors. Moreover, it uses a crowdsourcing approach to automatically aggregate the security issues from review level to app level. To our knowledge, AUTOREB is the first work that explores the user review information and utilizes the review semantics to predict the risky behaviors at both review level and app level. We crawled a real world dataset of 2,614,186 users, 12,783 apps and 13,129,783 reviews from Google play, and use it to comprehensively evaluate AUTOREB. The experiment result shows that our method can predict the mobile app behaviors at user review level with accuracy as high as 94.05 , and also it can predict the security issues at app level by aggregating the predictions at review level. Our research offers an insight into understanding the mobile app security concerns from users  perspective, and helps bridge the gap between the security issues and users  perception."
"L Jonsson, D Broman, M Magnusson ",2016,Automatic localization of bugs to faulty components in large scale software systems using bayesian classification,6,"We suggest a Bayesian approach to the problem of reducing bug turn around time in large software development organizations. Our approach is to use classification to predict where bugs are located in components. This classification is a form of automatic fault localization  AFL  at the component level. The approach only relies on historical bug reports and does not require detailed analysis of source code or detailed test runs. Our approach addresses two problems identified in user studies of AFL tools. The first problem concerns the trust in which the user can put in the results of the tool. The second problem concerns understanding how the results were computed. The proposed model quantifies the uncertainty in its predictions and all estimated model parameters. Additionally, the output of the model explains why a result was suggested. We evaluate the approach on more than 50000 bugs."
"A Rastogi, A Gupta, A Sureka",2013,Samiksha: mining issue tracking system for contribution and performance assessment,11,"Individual contribution and performance assessment is a standard practice conducted in organizations to measure the value addition by various contributors. Accurate measurement of individual contributions based on pre defined objectives, roles and Key Performance Indicators  KPIs  is a challenging task. In this paper, we propose a contribution and performance assessment framework  called as Samiksha  in the context of Software Maintenance. The focus of the study presented in this paper is Software Maintenance Activities  such as bug fixing and feature enhancement  performed by bug reporters, bug triagers, bug fixers, software developers, quality assurance and project managers facilitated by an Issue Tracking System. We present the result of a survey that we conducted to understand practitioner s perspective and experience  specifically on the topic of contribution assessment for software maintenance professionals . We propose several performance metrics covering different aspects  such as number of bugs fixed weighted by priority and quality of bugs reported  and various roles  such as bug reporter and bug fixer . We conduct a series of experiments on Google Chromium Project data  extracting data from the issue tracker for Google Chromium Project  and present results demonstrating the effectiveness of our proposed framework."
"Y Dang, D Zhang, S Ge, R Huang ",2017,Transferring code clone detection and analysis to practice,12,"During software development, code clones are commonly produced, in the form of a number of the same or similar code fragments spreading within one or many large code bases. Numerous research projects have been carried out on empirical studies or tool support for detecting or analyzing code clones. However, in practice, few such research projects have resulted in substantial industry adoption. In this paper, we report our experiences of transferring XIAO, a code clone detection and analysis approach and its supporting tool, to road industrial practices:  1  shipped in Visual Studio 2012, a widely used industrial IDE,  2  deployed and intensively used at the Microsoft Security Response Center. According to our experiences, technology transfer is a rather complicated journey that needs significant efforts from both the technical aspect and social aspect. From the technical aspect, significant efforts are needed to adapt a research prototype to a product quality tool that addresses the needs of real scenarios, to be integrated into a mainstream product or development process. From the social aspect, there are strong needs to interact with practitioners to identify killer scenarios in industrial settings, figure out the gap between a research prototype and a tool fitting the needs of real scenarios, to understand the requirements of releasing with a mainstream product, being integrated into a development process, understanding their release cadence, etc."
"O Baysal, R Holmes, MW Godfrey",2014,No issue left behind: Reducing information overload in issue tracking,18," Modern software development tools such as issue trackers are often complex and multi purpose tools that provide access to an immense amount of raw information. Unfortunately, developers sometimes feel frustrated when they cannot easily obtain the particular information they need for a given task  furthermore, the constant influx of new data   the vast majority of which is irrelevant to their task at hand   may result in issues being  dropped on the floor . In this paper, we present a developer centric approach to issue tracking that aims to reduce information overload and improve developers  situational awareness. Our approach is motivated by a grounded theory study of developer comments, which suggests that customized views of a project s repositories that are tailored to developer specific tasks can help developers better track their progress and understand the surrounding technical context. From the qualitative study, we uncovered a model of the kinds of information elements that are essential for developers in completing their daily tasks, and from this model we built a tool organized around customized issue tracking dashboards. Further quantitative and qualitative evaluation demonstrated that this dashboard like approach to issue tracking can reduce the volume of irrelevant emails by over 99  and also improve support for specific issue tracking tasks. "
